번호,상품명,가격,평점,리뷰수,URL,도시ID,도시명,대륙,국가,위치태그,카테고리,언어,투어형태,미팅방식,소요시간,하이라이트,순위,통화,수집일시,데이터소스,해시값,메인이미지,썸네일이미지,메인이미지_경로,썸네일이미지_경로,상품번호,분류,특징,제휴링크
1,[1인 출발] 일본 후지산 인기 명소 일일 투어 (도쿄 긴자 출발)(한국어 가이드),"₩57,616",4.7/5,3,https://www.kkday.com/ko/product/10999-tokyo-mount-fuji-lake-kawaguchi-gotemba-tour-japan,NRT,도쿄,아시아,일본,,일본 > 신에쓰 > 도카이,日本語/中文/ 한국어/English 가이드,KKday 전용투어,현장에서 전자바우처를 제시해주세요.,가장 빠른 예약 가능일: 2025-09-22,"플랜A: 중국어 가이드 | 클래식 후지산 일일 투어
플랜B: 한국어 가이드 | 클래식 후지산 일일 투어(16인 출발)
플랜 C 중국어 가이드 | 후지산 온천 일일투어
------------------------------------------------------
플랜 B 한국어 가이드 | 후지산 일일 투어(최대 16명)",1,KRW,2025-09-21 15:34:25,KKday,c49b05a56c2b,NRT_0001.jpg,NRT_0001_thumb.jpg,c:\Users\redsk\OneDrive\デスクトップ\mikael_project\kkday\kkday_img\아시아\일본\도쿄\NRT_0001.jpg,c:\Users\redsk\OneDrive\デスクトップ\mikael_project\kkday\kkday_img\아시아\일본\도쿄\NRT_0001_thumb.jpg,10999,도카이,"가장 빠른 예약 가능일: 2025-09-22 | 주문 건당 KDDI 무제한 데이터 일본 4일 eSIM 교환 코드 1개만 증정되며, 확정 이메일로 교환 코드를 받으신 후 교환 페이지에서 등록하시기 바랍니다. | 여행업자 배상책임보험 | 만 3세 미만의 좌석 및 식사 미제공 유아는 무료로 참여할 수 있습니다. 동반 시, 예약 시 ‘비고란’에 반드시 기재해 주세요. | 고노하나노유 온천은 고텐바 아울렛에 위치해 있으며 총 체류시간은 A, B 패키지과 동일합니다. 본 패키지 구매시 고텐바 아울렛 체류시간이 단축됩니다.",
2,[1인 출발 플랜 포함] 도쿄 닛코 일일 투어｜닛코 도쇼구 & 게곤 폭포 & 닛코온천 & 닛코 에도 마을 (긴자 출발),"₩93,981",4.7/5,3,https://www.kkday.com/ko/product/12060-nikko-day-tour-from-tokyo-unesco-world-heritage-sites-and-more-japan,NRT,도쿄,아시아,일본,,일본 > 관동 > 도쿄,日本語/中文/ 한국어/English 가이드,KKday 전용투어,현장에서 전자바우처를 제시해주세요.,가장 빠른 예약 가능일: 2025-09-25,"주젠지호(약 30분)
※ 단풍 예상 시기: 10월 초순 ~ 10월 하순
18:30 긴자 도착(약 18:30-19:30 도착)
일본 삼대 폭포 - 게곤 폭포(약 45분)
07:45 긴자 도큐 플라자 1층(긴자 지하철역 C2 / C3 출구에서 도보 1분) 집합",2,KRW,2025-09-21 15:35:27,KKday,8bea7da12489,NRT_0002.jpg,NRT_0002_thumb.jpg,c:\Users\redsk\OneDrive\デスクトップ\mikael_project\kkday\kkday_img\아시아\일본\도쿄\NRT_0002.jpg,c:\Users\redsk\OneDrive\デスクトップ\mikael_project\kkday\kkday_img\아시아\일본\도쿄\NRT_0002_thumb.jpg,12060,도쿄,여행업자 배상책임보험 | 15인 이상부터 출발가능 | 닛코 온천 입장료 (A 플랜 한정) | A-3 플랜 닛코 도쇼구 입장권 불포함 | 닛코 에도 원더랜드 입장료(플랜B에 한함),
