번호,도시ID,페이지,대륙,국가,도시,공항코드,상품타입,상품명,가격_원본,가격_정제,평점_원본,평점_정제,리뷰수,언어,이미지_파일명,이미지_상대경로,이미지_전체경로,이미지_상태,이미지_크기,URL,수집_시간,상태
1,GAN_1,1,아시아,대한민국,강릉,GAN,Product,"[영혼 세탁소] 하루쯤은, 바다와 툭 터놓고! [돌고래투어!]","30,000원~","30,000원",4.9 ·,4.9,후기 361개,"영어, 한국어",GAN_0001.jpg,아시아\대한민국\강릉\GAN_0001.jpg,myrealtripthumb_img\아시아\대한민국\강릉\GAN_0001.jpg,다운로드 완료,282007,https://experiences.myrealtrip.com/products/3884099,2025-08-09 01:45:51,완전수집
2,GAN_2,1,아시아,대한민국,강릉,GAN,Product,"8인 이하로 쾌적한 요트투어, 스냅샷 촬영 서비스 요트갤러리강릉","30,000원~","30,000원",5.0 ·,5.0,후기 88개,"영어, 한국어",GAN_0002.jpg,아시아\대한민국\강릉\GAN_0002.jpg,myrealtripthumb_img\아시아\대한민국\강릉\GAN_0002.jpg,다운로드 완료,81784,https://experiences.myrealtrip.com/products/3886494,2025-08-09 01:46:56,완전수집
