번호,대륙,국가,도시,공항코드,상품번호,상품타입,상품명,가격_원본,가격_정제,평점_원본,평점_정제,리뷰수,언어,이미지_파일명,이미지_상대경로,이미지_전체경로,이미지_상태,이미지_크기,URL,수집_시간,상태,사이트,사이트_코드,업데이트_시간
1,아시아,일본,오사카,KIX,1,Product,"[여행 한 그릇] 사진 촬영 포함, 아라시야마, 금각사, 청수사, 여우신사 교토 버스 투어","49,000원~","49,000원",4.9 ·,4.9,"후기 2,390개",한국어,KIX_001.jpg,아시아/일본/오사카/KIX_001.jpg,myrealtripthumb_img\아시아\일본\오사카\KIX_001.jpg,다운로드 완료,56772,https://experiences.myrealtrip.com/products/3425896,2025-07-14 16:05:40,완전수집,마이리얼트립,MRT,2025-07-14 16:06:37
2,아시아,일본,오사카,KIX,2,Product,[인디고트래블] 오사카출발 교토 1일 버스투어,"49,000원~","49,000원",5.0 ·,5.0,"후기 2,151개",한국어,KIX_002.jpg,아시아/일본/오사카/KIX_002.jpg,myrealtripthumb_img\아시아\일본\오사카\KIX_002.jpg,다운로드 완료,139160,https://experiences.myrealtrip.com/products/3417854,2025-07-14 16:06:37,완전수집,마이리얼트립,MRT,2025-07-14 16:06:37
